"[13101112726A]등급별","등급별","[13101112726B]도매시장별","도매시장별","[Item]항목","항목","단위","2016. 04 월","2016. 03 월","2016. 02 월","2016. 01 월","2015. 12 월","2015. 11 월","2015. 10 월","2015. 09 월","2015. 08 월","2015. 07 월","2015. 06 월","2015. 05 월","2015. 04 월","2015. 03 월","2015. 02 월","2015. 01 월","2014. 12 월","2014. 11 월","2014. 10 월","2014. 09 월","2014. 08 월","2014. 07 월","2014. 06 월","2014. 05 월","2014. 04 월","2014. 03 월","2014. 02 월","2014. 01 월","2013. 12 월","2013. 11 월","2013. 10 월","2013. 09 월","2013. 08 월","2013. 07 월","2013. 06 월","2013. 05 월","2013. 04 월","2013. 03 월","2013. 02 월","2013. 01 월","2012. 12 월","2012. 11 월","2012. 10 월","2012. 09 월","2012. 08 월","2012. 07 월","2012. 06 월","2012. 05 월","2012. 04 월","2012. 03 월","2012. 02 월","2012. 01 월","2011. 12 월","2011. 11 월","2011. 10 월","2011. 09 월","2011. 08 월","2011. 07 월","2011. 06 월","2011. 05 월","2011. 04 월","2011. 03 월","2011. 02 월","2011. 01 월",
"13102112726A.010","2A","13102112726B.008","삼성식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3699","","","3169","1991","","4299","","","","","","","","4099","","","","","","8499","6099","6231","","7051",
"13102112726A.010","2A","13102112726B.009","삼호축산","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","2","7","9","6","0","3","0","1","0","3","","0","0","0","0","0","3","6","1","0","0","0","2","0","1","13","2","0",
"13102112726A.010","2A","13102112726B.009","삼호축산","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4069","3852","3711","3031","3182","3029","","3930","","3250","","4733","","","","","","","5921","6036","4350","","","","7471","","5180","6239","6063","",
"13102112726A.010","2A","13102112726B.010","장원식품","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"13102112726A.010","2A","13102112726B.010","장원식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.010","2A","13102112726B.011","제주축협","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","44","61","60","50","57","56","52","48","54","53","42","43","32","21","20","20","16","15","19","24","25","30","18","8","76","78","80","60","105",
"13102112726A.010","2A","13102112726B.011","제주축협","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5595","4723","4204","3248","3570","3950","3986","4197","4179","4887","4915","5020","5676","5518","4537","4806","4490","4531","5933","5621","4657","5720","6095","6215","7067","7183","6249","6629","6086","5953",
"13102112726A.010","2A","13102112726B.012","농협부천","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","14","8","8","17","20","14","19","9","5","6","11","3","6","6","2","2","2","0","3","1","1","","0","6","4","0","2","2",
"13102112726A.010","2A","13102112726B.012","농협부천","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3323","","3364","","2654","2654","2893","3727","2622","2548","4969","3996","4584","5489","3796","4824","4399","5092","5625","","4380","6189","","","","7498","","","","",
"13102112726A.010","2A","13102112726B.013","농협고령","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","","0","0","1","","","0","0","0","7","55","21","31","44","24","27","15","23","174","255","273","231","463",
"13102112726A.010","2A","13102112726B.013","농협고령","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2889","","","","","3922","","","","","","4197","4718","6244","5325","4276","5237","6023","6460","7308","7007","6104","6543","5766","5904",
"13102112726A.010","2A","13102112726B.014","농협나주","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","5","1","5","20","13","2","3","9","0","0","0","6","5","10","3","2","10","4","6","8","6","2","6","5","21","28","23","36","41",
"13102112726A.010","2A","13102112726B.014","농협나주","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4006","3571","3060","2652","2681","2845","2734","3409","2955","","","","4768","4343","4323","3878","4253","3994","6064","5346","4193","5242","5427","6184","6946","7213","5892","6547","5748","6037",
"13102112726A.010","2A","13102112726B.015","김해축공","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","79","105","114","96","69","71","136","148","124","48","53","74","36","14","22","18","32","28","28","8","17","9","6","6","12","18","31","16","33",
"13102112726A.010","2A","13102112726B.015","김해축공","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4774","3798","3903","3295","3306","3061","3860","3514","3158","3858","4942","4895","5120","5405","4368","4597","4476","5051","6539","5743","4401","","5890","6398","7685","7363","5904","6661","6243","6529",
"13102112726A.010","2A","13102112726B.016","도드람","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","8","9","14","11","15","8","22","2","0","2","1","1","0","1","1","1","2","1","2","1","0","2","1","2","1","0","0","4",
"13102112726A.010","2A","13102112726B.016","도드람","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4568","3333","3389","2714","2775","2968","3095","3449","2960","2896","","4417","4439","4859","","3999","4015","3989","5593","5822","4135","4009","","6549","7169","7010","5611","","","6023",
"13102112726A.010","2A","13102112726B.017","익산","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","6","3","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","6","7","9","2","7","7","4","16","29",
"13102112726A.010","2A","13102112726B.017","익산","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4282","3459","3245","2971","","","","","3124","","","","","","","","","","","","3972","5718","6010","6033","7726","7101","5926","6443","6258","6329",
"13102112726A.010","2A","13102112726B.018","농협음성","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349","342","252","72","48","41","36","56","74","60","32","28","31","55","49","41","27","26","3","4","3","6","1","3","2","4","9","13","","",
"13102112726A.010","2A","13102112726B.018","농협음성","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4139","3616","3562","2891","2938","2895","3242","3861","2820","3304","3852","4342","4776","5072","4340","4311","4511","4265","5451","6367","4469","4341","6999","6189","7332","7173","5704","6957","","",
"13102112726A.011","2B","13102112726B.001","전체","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","757","889","620","437","481","556","468","664","747","547","313","298","318","284","248","326","340","364","353","320","349","325","308","211","190","1325","1293","1497","1459","2918",
"13102112726A.011","2B","13102112726B.001","전체","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4151","3370","3331","2723","2767","2861","3075","3353","2862","3408","4145","4450","4646","4762","4021","4122","4133","4292","5958","5291","4124","4991","5734","6154","7200","6946","5809","6425","5888","5935",
"13102112726A.011","2B","13102112726B.002","농협서울","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","325",
