"[A]시도별","시도별","[Item]항목","항목","단위","2016. 1/4","2015. 4/4","2015. 3/4","2015. 2/4","2015. 1/4","2014. 4/4","2014. 3/4","2014. 2/4","2014. 1/4","2013. 4/4","2013. 3/4","2013. 2/4","2013. 1/4","2012. 4/4","2012. 3/4","2012. 2/4","2012. 1/4","2011. 4/4","2011. 3/4","2011. 2/4","2011. 1/4",
"11","서울특별시","T04","4~6개월","","","0","0","0","0","0","6","8","1","10","13","0","22","28","23","2","0","14","0","0","0",
"11","서울특별시","T05","6~8개월:계","","","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0",
"11","서울특별시","T06","6~8개월:암컷","","","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0",
"11","서울특별시","T07","6~8개월:수컷","","","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0",
"11","서울특별시","T08","8개월이상:계","","","0","0","0","0","0","13","13","13","13","13","10","9","10","7","11","7","6","8","36","36",
"11","서울특별시","T09","8개월이상:암컷","","","0","0","0","0","0","10","10","10","10","10","8","8","9","6","10","6","5","7","34","34",
"11","서울특별시","T10","8개월이상:수컷","","","0","0","0","0","0","3","3","3","3","3","2","1","1","1","1","1","1","1","2","2",
"21","부산광역시","T01","합계","","6180","6257","6353","6218","6354","6128","6184","5916","5923","11248","6699","7134","7454","8561","12782","12308","14337","13740","12852","6379","6240",
"21","부산광역시","T02","2개월미만","","1576","1765","1672","1658","1695","1654","1936","1836","1682","3065","1348","1499","1821","1827","2193","2175","2149","2159","6608","1671","1579",
"21","부산광역시","T03","2~4개월","","2077","2101","1770","1769","1736","2078","1838","1778","1692","2837","2262","2338","1998","2870","2816","4101","3076","2851","2871","1864","1804",
"21","부산광역시","T04","4~6개월","","1937","1790","2171","2065","2181","1719","1738","1530","1844","3731","2412","2549","2846","2985","6385","5027","8215","7744","2378","1968","1977",
"21","부산광역시","T05","6~8개월:계","","24","17","133","48","88","73","37","71","6","60","36","98","30","34","57","113","49","138","137","198","209",
"21","부산광역시","T06","6~8개월:암컷","","23","17","133","48","88","70","37","71","6","60","33","84","29","33","56","111","47","77","79","138","148",
"21","부산광역시","T07","6~8개월:수컷","","1","0","0","0","0","3","0","0","0","0","3","14","1","1","1","2","2","61","58","60","61",
