"[A]시도별","시도별","[B]사육규모별","사육규모별","[Item]항목","항목","단위","2016. 1/4","2015. 4/4","2015. 3/4","2015. 2/4","2015. 1/4","2014. 4/4","2014. 3/4","2014. 2/4","2014. 1/4","2013. 4/4","2013. 3/4","2013. 2/4","2013. 1/4","2012. 4/4","2012. 3/4","2012. 2/4","2012. 1/4","2011. 4/4","2011. 3/4","2011. 2/4","2011. 1/4",
"37","경상북도","05","1,000 미만","T01","가구수","","140","184","202","203","198","202","202","211","206","207","224","219","228","231","249","258","260","243","256","287","308",
"37","경상북도","05","1,000 미만","T02","마리수","","72478","87460","86811","82737","82003","99166","91862","93225","92600","97040","99107","98605","93081","107713","105294","112957","96076","77599","91496","96932","95061",
"37","경상북도","10","1,000~5,000","T01","가구수","","247","246","252","235","241","248","264","260","277","285","284","287","292","281","280","270","269","277","269","272","280",
"37","경상북도","10","1,000~5,000","T02","마리수","","584209","588914","598059","553117","574727","592332","611727","610500","627592","640158","634946","661688","646023","633074","626940","583391","567092","585982","565699","567024","575501",
"37","경상북도","15","5,000~10,000","T01","가구수","","42","34","31","32","32","32","31","31","28","29","32","28","31","28","26","25","29","23","22","23","22",
"37","경상북도","15","5,000~10,000","T02","마리수","","284028","223205","209370","212003","215488","220517","215498","215898","189027","192000","204879","183476","202708","188043","179063","168394","193430","156312","146798","148507","152778",
"37","경상북도","20","10,000 이상","T01","가구수","","16","18","19","19","19","19","18","17","19","19","20","19","19","18","17","17","12","10","10","9","8",
"37","경상북도","20","10,000 이상","T02","마리수","","292116","301983","328222","332226","345982","341706","343220","301299","304803","297199","323538","330400","318084","270143","252252","229653","162704","134256","140936","132127","122948",
"38","경상남도","00","합계","T01","가구수","","581","601","576","627","604","581","573","642","669","678","745","830","689","740","802","907","973","868","856","878","832",
"38","경상남도","00","합계","T02","마리수","","1109217","1118163","1122761","1114256","1101073","1088261","1077372","1042988","1057085","1052191","1092867","1178678","1140993","1138789","1155401","1129773","1102845","1104240","1112536","1126955","1137004",
"38","경상남도","05","1,000 미만","T01","가구수","","269","278","257","287","288","262","264","331","356","357","444","494","329","426","474","580","656","536","514","523","463",
"38","경상남도","05","1,000 미만","T02","마리수","","91173","79852","86306","77945","79731","82681","98668","82450","97501","87660","120544","150108","101359","145812","143027","139448","141327","117312","118066","122428","123564",
"38","경상남도","10","1,000~5,000","T01","가구수","","269","279","274","299","271","277","267","273","274","281","262","290","319","271","285","286","283","297","307","322","336",
"38","경상남도","10","1,000~5,000","T02","마리수","","595980","606573","602289","628713","589468","602112","590402","599876","593348","601104","594191","613274","663469","606172","621141","619914","634133","642346","651385","665951","676338",
"38","경상남도","15","5,000~10,000","T01","가구수","","29","30","30","30","33","29","31","30","29","31","28","35","33","34","33","32","26","25","25","23","22",
"38","경상남도","15","5,000~10,000","T02","마리수","","193810","200305","196054","214740","221781","191688","204814","207248","188442","196890","180198","222226","225935","222558","213072","206813","178674","171046","168801","158879","149718",
"38","경상남도","20","10,000 이상","T01","가구수","","14","14","15","11","12","13","11","8","10","9","11","11","8","9","10","9","8","10","10","10","11",
"38","경상남도","20","10,000 이상","T02","마리수","","228254","231433","238112","192858","210093","211780","183488","153414","177794","166537","197934","193070","150230","164247","178161","163598","148711","173536","174284","179697","187384",
"39","제주도","00","합계","T01","가구수","","285","284","295","287","296","294","292","292","293","304","303","306","302","321","318","321","304","303","312","324","316",
"39","제주도","00","합계","T02","마리수","","563767","553872","554221","537944","539576","541465","544982","538611","551640","553151","550113","538008","530689","546055","548082","536216","515601","507978","513319","506030","488210",
"39","제주도","05","1,000 미만","T01","가구수","","94","96","107","101","108","107","105","105","105","118","117","120","112","133","131","135","113","114","124","133","125",
"39","제주도","05","1,000 미만","T02","마리수","","43767","48868","56458","52298","54537","56002","55725","52611","52555","56807","57364","58983","53253","68108","66865","71441","55295","55772","63527","63352","53310",
"39","제주도","10","1,000~5,000","T01","가구수","","179","176","177","175","178","176","177","176","176","176","174","175","179","178","175","176","183","181","180","184","184",
"39","제주도","10","1,000~5,000","T02","마리수","","393303","381975","382586","374019","379536","379157","384470","372240","380392","385248","375426","375276","375702","380105","373431","371404","382562","378506","378118","374473","369729",
"39","제주도","15","5,000~10,000","T01","가구수","","6","7","5","7","6","7","5","6","7","5","7","7","6","4","7","5","4","5","6","4","5",
